epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5678,5.86037,4.68326,0.98297,0,0,0,0,4.1611,3.87582,0.86388,0,0,0
2,29.5662,4.67621,3.9027,0.99872,0,0,0,0,4.06502,3.85974,0.85175,1.9901e-05,1.9901e-05,1.9901e-05
3,41.6634,5.06523,4.3055,1.00497,0,0,0,0,3.90505,3.82319,0.82723,3.9604e-05,3.9604e-05,3.9604e-05
4,54.439,4.42458,3.82048,0.92445,0,0,0,0,3.73309,3.78137,0.79453,5.9109e-05,5.9109e-05,5.9109e-05
5,70.3125,3.52776,3.67389,0.89104,0,0,0,0,3.73309,3.78137,0.79453,7.8416e-05,7.8416e-05,7.8416e-05
6,76.1243,3.9225,3.7167,0.91855,0,0,0,0,3.82915,3.7519,0.76724,9.7525e-05,9.7525e-05,9.7525e-05
7,89.0396,4.5237,3.63985,0.81238,0,0,0,0,3.82915,3.7519,0.76724,0.000116436,0.000116436,0.000116436
8,101.185,4.00395,3.6172,0.81465,0,0,0,0,4.21241,3.73743,0.74305,0.000135149,0.000135149,0.000135149
9,115.482,3.99243,3.39359,0.77011,0,0,0,0,4.21241,3.73743,0.74305,0.000153664,0.000153664,0.000153664
10,126.656,4.03194,3.42932,0.80694,0,0,0,0,4.56155,3.7055,0.72453,0.000171981,0.000171981,0.000171981
11,141.24,4.23691,3.27729,0.76745,0,0,0,0,4.56155,3.7055,0.72453,0.0001901,0.0001901,0.0001901
12,151.1,4.10276,3.21259,0.78911,0,0,0,0,4.56155,3.7055,0.72453,0.000208021,0.000208021,0.000208021
13,161.964,3.83365,3.24687,0.76511,0,0,0,0,4.57389,3.63045,0.7047,0.000225744,0.000225744,0.000225744
14,173.137,3.89692,2.88275,0.76206,0,0,0,0,4.57389,3.63045,0.7047,0.000243269,0.000243269,0.000243269
15,186.428,4.21445,2.90128,0.74367,0,0,0,0,4.57389,3.63045,0.7047,0.000260596,0.000260596,0.000260596
16,192.091,4.06355,2.95194,0.72484,0,0,0,0,4.47068,3.55501,0.69598,0.000277725,0.000277725,0.000277725
17,201.226,4.01435,2.58833,0.71925,0,0,0,0,4.47068,3.55501,0.69598,0.000294656,0.000294656,0.000294656
18,214.642,3.93683,2.54969,0.72169,0,0,0,0,4.47068,3.55501,0.69598,0.000311389,0.000311389,0.000311389
19,223.412,3.79234,2.50893,0.72775,0,0,0,0,4.47068,3.55501,0.69598,0.000327924,0.000327924,0.000327924
20,240.781,4.32171,2.60993,0.73952,0,0,0,0,4.09452,3.48211,0.69456,0.000344261,0.000344261,0.000344261
21,251.497,4.29401,2.26319,0.71126,0,0,0,0,4.09452,3.48211,0.69456,0.0003604,0.0003604,0.0003604
22,262.014,3.69218,2.13422,0.73415,0,0,0,0,4.09452,3.48211,0.69456,0.000376341,0.000376341,0.000376341
