epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93695,4.24512,3.8715,0.95962,0,0,0,0,4.69084,3.94696,0.90845,0,0,0
2,18.201,4.84357,3.95942,0.97708,0,0,0,0,4.61555,3.91001,0.89058,1.9604e-05,1.9604e-05,1.9604e-05
3,25.6478,4.37918,3.81749,0.99594,0,0,0,0,4.48408,3.85106,0.86049,3.8416e-05,3.8416e-05,3.8416e-05
4,34.8985,5.77745,4.24459,1.00943,0,0,0,0,4.27469,3.79092,0.81569,5.6436e-05,5.6436e-05,5.6436e-05
5,42.8775,4.09787,3.75351,0.80015,0,0,0,0,4.18199,3.74902,0.7792,7.3664e-05,7.3664e-05,7.3664e-05
6,53.2105,4.81492,3.69075,0.80634,0,0,0,0,4.33407,3.72253,0.75038,9.01e-05,9.01e-05,9.01e-05
7,63.3897,4.66973,3.65102,0.79777,0,0,0,0,4.64501,3.7169,0.72834,0.000105744,0.000105744,0.000105744
8,73.1527,4.69564,3.3595,0.78127,0,0,0,0,4.99599,3.77099,0.72626,0.000120596,0.000120596,0.000120596
9,83.466,4.96304,3.4717,0.72442,0,0,0,0,5.45832,3.91869,0.75024,0.000134656,0.000134656,0.000134656
10,90.9966,4.5526,3.18271,0.76651,0,0,0,0,5.71042,4.08427,0.77106,0.000147924,0.000147924,0.000147924
11,100.529,4.78727,3.00047,0.72549,0,0,0,0,5.81655,4.15682,0.78403,0.0001604,0.0001604,0.0001604
12,111.028,4.63188,2.76558,0.74537,0,0,0,0,5.69089,4.00031,0.7752,0.000172084,0.000172084,0.000172084
13,119.612,4.38434,2.71169,0.70392,0,0,0,0,5.33847,3.81399,0.75223,0.000182976,0.000182976,0.000182976
14,131.291,4.43762,2.39349,0.72819,0,0,0,0,4.81849,3.66347,0.7267,0.000193076,0.000193076,0.000193076
15,140.952,4.09013,2.23095,0.73457,0,0,0,0,4.35086,3.56427,0.71081,0.000202384,0.000202384,0.000202384
16,150.177,3.79763,2.03012,0.74965,0,0,0,0,3.99431,3.48794,0.70277,0.0002109,0.0002109,0.0002109
17,161.902,5.15209,1.99964,0.71556,0,0,0,0,3.86673,3.43146,0.69979,0.000218624,0.000218624,0.000218624
18,171.238,4.68332,1.95376,0.7029,0,0,0,0,3.86673,3.43146,0.69979,0.000225556,0.000225556,0.000225556
19,182.195,4.27051,1.82425,0.73155,0,0,0,0,3.80526,3.37066,0.69813,0.000231696,0.000231696,0.000231696
20,193.411,5.69108,2.06562,0.6906,0,0,0,0,3.80526,3.37066,0.69813,0.000237044,0.000237044,0.000237044
21,201.675,3.37837,1.48205,0.7301,0,0,0,0,3.74557,3.30513,0.69638,0.0002416,0.0002416,0.0002416
22,211.402,4.38452,1.66436,0.7061,0,0,0,0,3.74557,3.30513,0.69638,0.000245364,0.000245364,0.000245364
23,218.68,3.01358,1.36438,0.73106,0,0,0,0,3.73233,3.23417,0.69477,0.000248336,0.000248336,0.000248336
24,228.079,4.85327,1.89538,0.6828,0,0,0,0,3.73233,3.23417,0.69477,0.000250516,0.000250516,0.000250516
25,237.733,4.71906,2.30775,0.68,0,0,0,0,3.76503,3.16395,0.6929,0.000251904,0.000251904,0.000251904
26,245.783,3.22464,1.4291,0.75865,0,0,0,0,3.76503,3.16395,0.6929,0.0002525,0.0002525,0.0002525
27,255.241,4.41292,1.88401,0.69484,0,0,0,0,3.76756,3.09768,0.68969,0.000252304,0.000252304,0.000252304
28,266.576,4.86439,1.69171,0.65391,0,0,0,0,3.76756,3.09768,0.68969,0.000251316,0.000251316,0.000251316
29,275.224,3.33347,1.35747,0.74626,0,0,0,0,3.77246,3.03539,0.68714,0.000249536,0.000249536,0.000249536
30,283.076,3.57285,1.59463,0.71867,0,0,0,0,3.77246,3.03539,0.68714,0.000246964,0.000246964,0.000246964
31,294.125,4.40431,1.52893,0.66986,0,0,0,0,3.75178,2.96564,0.68357,0.0002436,0.0002436,0.0002436
32,303.785,3.87168,1.56544,0.72241,0,0,0,0,3.75178,2.96564,0.68357,0.000239444,0.000239444,0.000239444
33,312.226,4.13097,1.48017,0.65885,0.00833,0.00566,0.00915,0.00491,3.73897,2.90025,0.68072,0.000234496,0.000234496,0.000234496
34,322.272,3.81071,1.40445,0.67257,0.00833,0.00566,0.00915,0.00491,3.73897,2.90025,0.68072,0.000228756,0.000228756,0.000228756
35,330.618,4.45025,2.17136,0.66859,0.015,0.01019,0.01286,0.00557,3.75268,2.84106,0.67891,0.000222224,0.000222224,0.000222224
36,339.125,3.48008,1.37615,0.70086,0.015,0.01019,0.01286,0.00557,3.75268,2.84106,0.67891,0.0002149,0.0002149,0.0002149
37,348.207,3.28513,1.29247,0.70395,0.025,0.01699,0.02388,0.00807,3.72717,2.79035,0.67822,0.000206784,0.000206784,0.000206784
38,356.408,3.77379,1.43754,0.67487,0.025,0.01699,0.02388,0.00807,3.72717,2.79035,0.67822,0.000197876,0.000197876,0.000197876
39,365.84,4.79916,1.64281,0.64905,0.03333,0.02265,0.02919,0.00984,3.70259,2.74088,0.677,0.000188176,0.000188176,0.000188176
