epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1925,4.89534,3.42352,0.75201,0.0024,0.00189,0.0012,0.00024,5.01413,3.44724,0.62109,0.0004,0.0004,0.0924
2,158.267,4.69922,2.25716,0.65496,0.0258,0.02032,0.01378,0.00292,5.05562,3.19866,0.60542,0.000847195,0.000847195,0.0838472
3,243.321,4.49761,1.9594,0.63387,0.05873,0.04626,0.03441,0.00747,4.91216,2.92821,0.60433,0.00129142,0.00129142,0.0752914
4,318.021,4.62199,1.97876,0.62345,0.0394,0.03104,0.02124,0.00467,5.03221,2.68938,0.6087,0.00173268,0.00173268,0.0667327
5,393.758,4.51341,2.32808,0.61192,0.07307,0.05755,0.04232,0.01003,4.72608,2.29734,0.58761,0.00217096,0.00217096,0.058171
6,473.827,4.29288,1.74241,0.62708,0.05467,0.04306,0.03049,0.00672,4.93125,2.01726,0.60915,0.00260628,0.00260628,0.0496063
7,548.695,4.65356,2.24278,0.62492,0.0454,0.03576,0.02521,0.00528,4.95652,2.02632,0.61627,0.00303862,0.00303862,0.0410386
8,636.276,4.38712,1.81529,0.61893,0.05653,0.04453,0.03246,0.00703,4.8592,2.0035,0.61504,0.00346799,0.00346799,0.032468
9,718.298,4.29916,1.95017,0.61127,0.07955,0.05094,0.03792,0.00834,4.84697,1.72014,0.61143,0.0038944,0.0038944,0.0238944
10,802.284,4.28924,1.6963,0.61309,0.07562,0.04243,0.03192,0.00702,4.93466,1.71716,0.61258,0.00431783,0.00431783,0.0153178
11,884.532,4.30574,1.66526,0.61162,0.05228,0.03891,0.02842,0.00603,4.95915,2.12825,0.62005,0.0047383,0.0047383,0.0067383
12,964.926,4.22739,1.71187,0.61544,0.05244,0.03865,0.0285,0.00635,4.84673,2.37041,0.60642,0.0048185,0.0048185,0.0048185
13,1039.69,4.26561,1.92223,0.61306,0.00627,0.00494,0.00315,0.00077,4.64554,18.466,0.59025,0.004802,0.004802,0.004802
14,1117.05,4.47923,1.96748,0.60833,0.00627,0.00494,0.00315,0.00077,4.64554,18.466,0.59025,0.0047855,0.0047855,0.0047855
15,1191.13,4.2176,1.87997,0.62167,0.00333,0.00263,0.00167,0.00035,4.60109,34.593,0.58419,0.004769,0.004769,0.004769
16,1273.21,4.20657,1.78909,0.62069,0.014,0.01103,0.00708,0.00165,4.70263,59.8467,0.57942,0.0047525,0.0047525,0.0047525
17,1352.83,4.21691,1.68759,0.61115,0.11606,0.06638,0.05355,0.0124,4.58343,4.26577,0.58343,0.004736,0.004736,0.004736
18,1439.43,4.20873,1.6846,0.61022,0.12245,0.07231,0.05858,0.01314,4.65569,3.70572,0.58509,0.0047195,0.0047195,0.0047195
19,1518.23,4.28445,1.75643,0.59975,0.13419,0.07609,0.06456,0.01562,4.61882,4.62145,0.583,0.004703,0.004703,0.004703
20,1591.33,4.23185,2.13689,0.60685,0.13419,0.07609,0.06456,0.01562,4.61882,4.62145,0.583,0.0046865,0.0046865,0.0046865
21,1672.51,4.25781,1.66129,0.5976,0.12794,0.07819,0.06156,0.01433,4.57808,6.95745,0.58268,0.00467,0.00467,0.00467
22,1751.43,4.11836,1.68996,0.60632,0.10453,0.07583,0.05526,0.01315,4.51756,11.6093,0.58442,0.0046535,0.0046535,0.0046535
23,1831.55,4.08278,1.65891,0.61071,0.08409,0.06249,0.04352,0.01015,4.57108,16.7043,0.58628,0.004637,0.004637,0.004637
24,1906.35,4.21604,1.81792,0.60197,0.09883,0.07,0.05017,0.01192,4.58048,9.54626,0.5835,0.0046205,0.0046205,0.0046205
25,1997.61,4.27862,1.75419,0.60521,0.09883,0.07,0.05017,0.01192,4.58048,9.54626,0.5835,0.004604,0.004604,0.004604
