epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1574.91,3.90188,1.54748,0.82164,0.22394,0.13559,0.13489,0.03642,3.79276,1.63278,0.82963,0.004307,0.004307,0.004307
44,1608.81,3.84474,1.52575,0.80223,0.22394,0.13559,0.13489,0.03642,3.79276,1.63278,0.82963,0.0042905,0.0042905,0.0042905
45,1643.14,3.89261,1.63808,0.85448,0.22394,0.13559,0.13489,0.03642,3.79276,1.63278,0.82963,0.004274,0.004274,0.004274
46,1677.88,3.84525,1.58114,0.82013,0.22165,0.12468,0.1241,0.03474,3.79173,1.76524,0.83988,0.0042575,0.0042575,0.0042575
47,1708.39,3.76815,1.59878,0.80424,0.22165,0.12468,0.1241,0.03474,3.79173,1.76524,0.83988,0.004241,0.004241,0.004241
48,1749.73,3.92204,1.5856,0.83746,0.22165,0.12468,0.1241,0.03474,3.79173,1.76524,0.83988,0.0042245,0.0042245,0.0042245
49,1786.64,3.74589,1.6691,0.84605,0.22165,0.12468,0.1241,0.03474,3.79173,1.76524,0.83988,0.004208,0.004208,0.004208
50,1816.16,3.54858,1.51338,0.84935,0.26521,0.14121,0.15863,0.04364,3.73314,1.71597,0.85666,0.0041915,0.0041915,0.0041915
51,1854.25,3.66631,1.54026,0.83808,0.26521,0.14121,0.15863,0.04364,3.73314,1.71597,0.85666,0.004175,0.004175,0.004175
52,1893.56,3.69121,1.56536,0.81353,0.26521,0.14121,0.15863,0.04364,3.73314,1.71597,0.85666,0.0041585,0.0041585,0.0041585
53,1935.02,3.72091,1.48505,0.79844,0.28744,0.16562,0.18694,0.05455,3.70734,1.70916,0.86092,0.004142,0.004142,0.004142
54,1977.16,4.00785,1.56505,0.81461,0.28744,0.16562,0.18694,0.05455,3.70734,1.70916,0.86092,0.0041255,0.0041255,0.0041255
55,2012.68,3.76338,1.68723,0.85561,0.28744,0.16562,0.18694,0.05455,3.70734,1.70916,0.86092,0.004109,0.004109,0.004109
56,2043.37,3.62031,1.51713,0.86086,0.27146,0.17275,0.18508,0.05452,3.6744,1.8035,0.84505,0.0040925,0.0040925,0.0040925
57,2075.36,4.03465,1.76145,0.79356,0.27146,0.17275,0.18508,0.05452,3.6744,1.8035,0.84505,0.004076,0.004076,0.004076
58,2108.36,3.58034,1.48893,0.8498,0.27146,0.17275,0.18508,0.05452,3.6744,1.8035,0.84505,0.0040595,0.0040595,0.0040595
59,2142.36,3.50026,1.52282,0.87189,0.2665,0.16681,0.17705,0.05131,3.66924,1.80534,0.83125,0.004043,0.004043,0.004043
60,2179.78,3.76075,1.52675,0.80016,0.2665,0.16681,0.17705,0.05131,3.66924,1.80534,0.83125,0.0040265,0.0040265,0.0040265
61,2220.04,3.69224,1.47725,0.80624,0.2665,0.16681,0.17705,0.05131,3.66924,1.80534,0.83125,0.00401,0.00401,0.00401
62,2259.77,3.72794,1.48441,0.81833,0.27983,0.16854,0.17847,0.05175,3.63478,1.75287,0.8295,0.0039935,0.0039935,0.0039935
63,2289.81,3.56164,1.55493,0.86009,0.27983,0.16854,0.17847,0.05175,3.63478,1.75287,0.8295,0.003977,0.003977,0.003977
64,2329.01,3.84717,1.63956,0.83466,0.27983,0.16854,0.17847,0.05175,3.63478,1.75287,0.8295,0.0039605,0.0039605,0.0039605
65,2361.84,3.94913,1.6637,0.77876,0.27983,0.16854,0.17847,0.05175,3.63478,1.75287,0.8295,0.003944,0.003944,0.003944
66,2388.59,3.53194,1.50986,0.85964,0.29917,0.18291,0.19416,0.05738,3.57112,1.65979,0.82557,0.0039275,0.0039275,0.0039275
67,2422.44,3.6142,1.45376,0.84384,0.29917,0.18291,0.19416,0.05738,3.57112,1.65979,0.82557,0.003911,0.003911,0.003911
68,2453.31,3.58206,1.51857,0.81988,0.29917,0.18291,0.19416,0.05738,3.57112,1.65979,0.82557,0.0038945,0.0038945,0.0038945
69,2498.7,3.68309,1.52659,0.83598,0.279,0.18086,0.18268,0.0552,3.6114,1.63072,0.8368,0.003878,0.003878,0.003878
70,2525.28,3.70019,1.75049,0.86029,0.279,0.18086,0.18268,0.0552,3.6114,1.63072,0.8368,0.0038615,0.0038615,0.0038615
71,2557.86,3.32323,1.38407,0.86916,0.279,0.18086,0.18268,0.0552,3.6114,1.63072,0.8368,0.003845,0.003845,0.003845
72,2589.64,3.70591,1.44933,0.81468,0.29383,0.19047,0.19596,0.05935,3.59018,1.55228,0.83777,0.0038285,0.0038285,0.0038285
73,2618.81,3.7076,1.61802,0.85017,0.29383,0.19047,0.19596,0.05935,3.59018,1.55228,0.83777,0.003812,0.003812,0.003812
74,2646.22,3.37558,1.47645,0.87779,0.29383,0.19047,0.19596,0.05935,3.59018,1.55228,0.83777,0.0037955,0.0037955,0.0037955
75,2683.92,3.66574,1.44826,0.8239,0.30949,0.19749,0.20938,0.06227,3.56986,1.46979,0.81946,0.003779,0.003779,0.003779
76,2717.89,3.26669,1.47178,0.90172,0.30949,0.19749,0.20938,0.06227,3.56986,1.46979,0.81946,0.0037625,0.0037625,0.0037625
77,2754.18,3.75142,1.441,0.79873,0.30949,0.19749,0.20938,0.06227,3.56986,1.46979,0.81946,0.003746,0.003746,0.003746
78,2777.56,3.55632,1.48331,0.84014,0.31628,0.19825,0.21823,0.06483,3.57455,1.47746,0.8325,0.0037295,0.0037295,0.0037295
79,2817.9,3.54171,1.42329,0.8451,0.31628,0.19825,0.21823,0.06483,3.57455,1.47746,0.8325,0.003713,0.003713,0.003713
80,2850.86,3.6014,1.50685,0.83944,0.31628,0.19825,0.21823,0.06483,3.57455,1.47746,0.8325,0.0036965,0.0036965,0.0036965
81,2884.72,3.6231,1.47375,0.82529,0.31628,0.19825,0.21823,0.06483,3.57455,1.47746,0.8325,0.00368,0.00368,0.00368
82,2917.71,3.85706,1.57451,0.7813,0.32098,0.20419,0.22676,0.06702,3.56133,1.46191,0.82599,0.0036635,0.0036635,0.0036635
83,2946.38,3.5632,1.51181,0.82624,0.32098,0.20419,0.22676,0.06702,3.56133,1.46191,0.82599,0.003647,0.003647,0.003647
84,2971.36,3.52962,1.63896,0.86221,0.32098,0.20419,0.22676,0.06702,3.56133,1.46191,0.82599,0.0036305,0.0036305,0.0036305
85,3004.08,3.59956,1.49824,0.81971,0.31431,0.18917,0.21176,0.06057,3.57766,1.45664,0.80927,0.003614,0.003614,0.003614
86,3037.17,3.76441,1.54907,0.78282,0.31431,0.18917,0.21176,0.06057,3.57766,1.45664,0.80927,0.0035975,0.0035975,0.0035975
87,3087.86,3.57202,1.36555,0.80449,0.31431,0.18917,0.21176,0.06057,3.57766,1.45664,0.80927,0.003581,0.003581,0.003581
88,3126.66,3.47261,1.40772,0.83066,0.31397,0.19252,0.21278,0.06082,3.58444,1.47187,0.81304,0.0035645,0.0035645,0.0035645
89,3164.28,3.58527,1.43207,0.8251,0.31397,0.19252,0.21278,0.06082,3.58444,1.47187,0.81304,0.003548,0.003548,0.003548
90,3200.18,3.55752,1.46784,0.84474,0.31397,0.19252,0.21278,0.06082,3.58444,1.47187,0.81304,0.0035315,0.0035315,0.0035315
91,3233.46,3.71254,1.56997,0.8026,0.31704,0.19793,0.21784,0.06587,3.54041,1.47348,0.82036,0.003515,0.003515,0.003515
92,3275.4,3.50902,1.44974,0.8326,0.31704,0.19793,0.21784,0.06587,3.54041,1.47348,0.82036,0.0034985,0.0034985,0.0034985
93,3314.52,3.5965,1.39707,0.80728,0.31704,0.19793,0.21784,0.06587,3.54041,1.47348,0.82036,0.003482,0.003482,0.003482
94,3577.75,3.49232,1.49502,0.83656,0.28367,0.18388,0.19492,0.05603,3.64251,1.48974,0.81611,0.0034655,0.0034655,0.0034655
95,3617.74,3.47674,1.34003,0.80714,0.28367,0.18388,0.19492,0.05603,3.64251,1.48974,0.81611,0.003449,0.003449,0.003449
96,3648.06,3.70391,1.37157,0.78442,0.28367,0.18388,0.19492,0.05603,3.64251,1.48974,0.81611,0.0034325,0.0034325,0.0034325
97,3690.21,3.7546,1.55346,0.80592,0.28367,0.18388,0.19492,0.05603,3.64251,1.48974,0.81611,0.003416,0.003416,0.003416
98,3726.69,3.46669,1.3815,0.8133,0.29533,0.19144,0.20501,0.05788,3.57419,1.44317,0.8137,0.0033995,0.0033995,0.0033995
99,3762.4,3.8375,1.51739,0.77438,0.29533,0.19144,0.20501,0.05788,3.57419,1.44317,0.8137,0.003383,0.003383,0.003383
100,3802.16,3.40281,1.39285,0.83179,0.29533,0.19144,0.20501,0.05788,3.57419,1.44317,0.8137,0.0033665,0.0033665,0.0033665
101,3836.66,3.5384,1.44045,0.81475,0.3235,0.2097,0.23449,0.06992,3.49734,1.37577,0.82608,0.00335,0.00335,0.00335
102,3876.88,3.81131,1.58993,0.8337,0.3235,0.2097,0.23449,0.06992,3.49734,1.37577,0.82608,0.0033335,0.0033335,0.0033335
103,3913.66,3.53939,1.34752,0.80154,0.3235,0.2097,0.23449,0.06992,3.49734,1.37577,0.82608,0.003317,0.003317,0.003317
104,3955.73,3.48673,1.40998,0.81004,0.30744,0.1882,0.20522,0.06069,3.66274,1.38422,0.85443,0.0033005,0.0033005,0.0033005
105,3991.63,3.85167,1.51074,0.79324,0.30744,0.1882,0.20522,0.06069,3.66274,1.38422,0.85443,0.003284,0.003284,0.003284
106,4029.92,3.57426,1.39049,0.80787,0.30744,0.1882,0.20522,0.06069,3.66274,1.38422,0.85443,0.0032675,0.0032675,0.0032675
107,4079.13,3.72064,1.51158,0.81245,0.34832,0.20841,0.23589,0.07082,3.53168,1.33752,0.82804,0.003251,0.003251,0.003251
108,4112.46,3.58522,1.41794,0.8439,0.34832,0.20841,0.23589,0.07082,3.53168,1.33752,0.82804,0.0032345,0.0032345,0.0032345
109,4153.68,3.30045,1.31979,0.83663,0.34832,0.20841,0.23589,0.07082,3.53168,1.33752,0.82804,0.003218,0.003218,0.003218
110,4190.26,3.34336,1.35583,0.85331,0.34936,0.20516,0.23465,0.06652,3.59265,1.36313,0.8364,0.0032015,0.0032015,0.0032015
111,4228.68,3.55536,1.38043,0.81209,0.34936,0.20516,0.23465,0.06652,3.59265,1.36313,0.8364,0.003185,0.003185,0.003185
112,4266.68,3.57583,1.48246,0.81373,0.34936,0.20516,0.23465,0.06652,3.59265,1.36313,0.8364,0.0031685,0.0031685,0.0031685
113,4300.57,3.50839,1.38099,0.80641,0.34936,0.20516,0.23465,0.06652,3.59265,1.36313,0.8364,0.003152,0.003152,0.003152
114,4338.08,3.60777,1.42601,0.78516,0.3578,0.21573,0.25356,0.07227,3.49768,1.35318,0.81558,0.0031355,0.0031355,0.0031355
115,4362.92,3.3234,1.47484,0.85041,0.3578,0.21573,0.25356,0.07227,3.49768,1.35318,0.81558,0.003119,0.003119,0.003119
116,4410.44,3.78467,1.47249,0.80234,0.3578,0.21573,0.25356,0.07227,3.49768,1.35318,0.81558,0.0031025,0.0031025,0.0031025
117,4450.6,3.5668,1.39851,0.78977,0.37527,0.21716,0.2596,0.07598,3.41882,1.34382,0.79922,0.003086,0.003086,0.003086
118,4485.9,3.55604,1.3993,0.81062,0.37527,0.21716,0.2596,0.07598,3.41882,1.34382,0.79922,0.0030695,0.0030695,0.0030695
119,4530.8,3.56179,1.39928,0.78663,0.37527,0.21716,0.2596,0.07598,3.41882,1.34382,0.79922,0.003053,0.003053,0.003053
120,4565.82,3.4601,1.60731,0.83073,0.38004,0.22202,0.2664,0.07968,3.39262,1.3455,0.79768,0.0030365,0.0030365,0.0030365
121,4603.83,3.74945,1.53817,0.78773,0.38004,0.22202,0.2664,0.07968,3.39262,1.3455,0.79768,0.00302,0.00302,0.00302
122,4640.07,3.80415,1.57201,0.76212,0.38004,0.22202,0.2664,0.07968,3.39262,1.3455,0.79768,0.0030035,0.0030035,0.0030035
123,4676.84,3.40012,1.37198,0.82322,0.36753,0.22115,0.25641,0.07735,3.4213,1.34799,0.79881,0.002987,0.002987,0.002987
124,4708.25,3.44644,1.38296,0.85175,0.36753,0.22115,0.25641,0.07735,3.4213,1.34799,0.79881,0.0029705,0.0029705,0.0029705
125,4754.24,3.30176,1.34435,0.83098,0.36753,0.22115,0.25641,0.07735,3.4213,1.34799,0.79881,0.002954,0.002954,0.002954
126,4794.44,3.50102,1.40087,0.79553,0.36144,0.21878,0.24859,0.07658,3.44127,1.34671,0.80733,0.0029375,0.0029375,0.0029375
127,4830.41,3.43978,1.41326,0.80646,0.36144,0.21878,0.24859,0.07658,3.44127,1.34671,0.80733,0.002921,0.002921,0.002921
128,4871.81,3.72495,1.50867,0.77904,0.36144,0.21878,0.24859,0.07658,3.44127,1.34671,0.80733,0.0029045,0.0029045,0.0029045
129,4910.3,3.42664,1.35007,0.80422,0.36144,0.21878,0.24859,0.07658,3.44127,1.34671,0.80733,0.002888,0.002888,0.002888
130,4956.53,3.46501,1.30893,0.79236,0.36477,0.21943,0.24778,0.07477,3.45459,1.34297,0.81517,0.0028715,0.0028715,0.0028715
131,4996.02,3.53263,1.36793,0.79498,0.36477,0.21943,0.24778,0.07477,3.45459,1.34297,0.81517,0.002855,0.002855,0.002855
132,5024.04,3.72863,1.55472,0.80496,0.36477,0.21943,0.24778,0.07477,3.45459,1.34297,0.81517,0.0028385,0.0028385,0.0028385
133,5067.71,3.31448,1.32,0.80435,0.38779,0.22882,0.26465,0.07934,3.43775,1.31658,0.81841,0.002822,0.002822,0.002822
134,5107.2,3.70773,1.44243,0.75546,0.38779,0.22882,0.26465,0.07934,3.43775,1.31658,0.81841,0.0028055,0.0028055,0.0028055
135,5144.73,3.74581,1.4524,0.77111,0.38779,0.22882,0.26465,0.07934,3.43775,1.31658,0.81841,0.002789,0.002789,0.002789
136,5182.61,3.20961,1.26095,0.81669,0.41381,0.2359,0.27977,0.08327,3.41522,1.29559,0.81919,0.0027725,0.0027725,0.0027725
137,5218.85,3.43447,1.41024,0.84532,0.41381,0.2359,0.27977,0.08327,3.41522,1.29559,0.81919,0.002756,0.002756,0.002756
138,5261.18,3.59816,1.41416,0.77631,0.41381,0.2359,0.27977,0.08327,3.41522,1.29559,0.81919,0.0027395,0.0027395,0.0027395
139,5303.64,3.46718,1.28,0.76765,0.41819,0.24978,0.29571,0.08738,3.33291,1.27353,0.79303,0.002723,0.002723,0.002723
