epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.047,3.71704,2.01766,0.76288,0.52095,0.45444,0.37864,0.10184,3.0725,1.9033,0.70349,0.000830793,0.000830793,0.0675991
2,209.121,3.5289,1.69457,0.73471,0.55934,0.46078,0.4121,0.11361,3.03865,1.37295,0.70069,0.00165754,0.00165754,0.0350925
3,313.797,3.46976,1.6311,0.73424,0.56983,0.47133,0.41936,0.11064,3.04148,1.53806,0.69975,0.00247768,0.00247768,0.00257931
4,418.501,3.45521,1.82419,0.72698,0.5919,0.48892,0.44235,0.12735,2.98345,1.85953,0.69872,0.0024703,0.0024703,0.0024703
5,524.076,3.3229,1.64572,0.72881,0.5524,0.46573,0.3882,0.10789,3.01459,1.39526,0.70116,0.0024604,0.0024604,0.0024604
6,628.193,3.40907,1.55584,0.72908,0.54053,0.45604,0.39247,0.11322,3.01,1.36641,0.69942,0.0024505,0.0024505,0.0024505
7,727.679,3.33037,1.58476,0.72771,0.60568,0.41829,0.41553,0.11964,2.94218,3.93025,0.69824,0.0024406,0.0024406,0.0024406
8,826.72,3.32556,1.71007,0.74121,0.60829,0.51549,0.46378,0.13653,2.89699,1.71103,0.69514,0.0024307,0.0024307,0.0024307
9,925.331,3.2455,1.57048,0.72249,0.60963,0.51261,0.4694,0.14171,2.9053,1.28733,0.69393,0.0024208,0.0024208,0.0024208
10,1026.21,3.31426,1.53779,0.72705,0.57679,0.48614,0.45576,0.13405,2.8813,1.34429,0.69754,0.0024109,0.0024109,0.0024109
11,1127.15,3.40629,1.65075,0.72016,0.56845,0.46142,0.41916,0.12483,2.93486,1.52199,0.6957,0.002401,0.002401,0.002401
12,1229.55,3.33882,1.59987,0.71677,0.60811,0.49541,0.45586,0.13408,2.92328,1.38164,0.69267,0.0023911,0.0023911,0.0023911
13,1332.25,3.22789,1.52331,0.71949,0.61692,0.51257,0.48016,0.1435,2.84199,1.2708,0.69282,0.0023812,0.0023812,0.0023812
14,1435.27,3.28693,1.47828,0.71451,0.64544,0.53758,0.50721,0.15797,2.81789,1.28438,0.68955,0.0023713,0.0023713,0.0023713
15,1539.69,3.21484,1.46654,0.71648,0.6416,0.55026,0.51135,0.15779,2.82754,1.28562,0.68934,0.0023614,0.0023614,0.0023614
16,1642.88,3.19869,1.49851,0.71561,0.61679,0.52547,0.49287,0.15117,2.82868,1.31521,0.68851,0.0023515,0.0023515,0.0023515
17,1746.18,3.22033,1.44745,0.71314,0.67196,0.57067,0.54817,0.17298,2.73507,1.27707,0.68796,0.0023416,0.0023416,0.0023416
18,1850.18,3.20074,1.40161,0.7161,0.66879,0.55253,0.53067,0.16388,2.77095,1.34759,0.68691,0.0023317,0.0023317,0.0023317
19,1953.18,3.19344,1.38394,0.72328,0.64226,0.52782,0.49514,0.15287,2.83759,1.16717,0.68577,0.0023218,0.0023218,0.0023218
20,2056.72,3.18256,1.38841,0.71485,0.65821,0.55283,0.5304,0.16357,2.76874,1.17314,0.68992,0.0023119,0.0023119,0.0023119
21,2160.29,3.17429,1.46973,0.71444,0.67325,0.54948,0.52617,0.16925,2.7942,1.18716,0.68822,0.002302,0.002302,0.002302
22,2264.26,3.17361,1.36913,0.7155,0.6714,0.56127,0.55132,0.17549,2.73,1.16985,0.68355,0.0022921,0.0022921,0.0022921
23,2368.89,3.19782,1.37588,0.71483,0.66796,0.55315,0.53966,0.16299,2.78011,1.2666,0.6898,0.0022822,0.0022822,0.0022822
24,2472.48,3.1311,1.37414,0.72293,0.67067,0.53955,0.52751,0.15814,2.77397,1.2462,0.68634,0.0022723,0.0022723,0.0022723
25,2576.01,3.24603,1.43572,0.71384,0.63673,0.52796,0.50032,0.1414,2.85834,1.25655,0.68622,0.0022624,0.0022624,0.0022624
26,2679.74,3.17856,1.43047,0.72202,0.64735,0.55375,0.53558,0.16697,2.7412,1.2626,0.68507,0.0022525,0.0022525,0.0022525
27,2783.22,3.04898,1.38791,0.71354,0.68038,0.55136,0.53658,0.17317,2.73251,1.21768,0.68015,0.0022426,0.0022426,0.0022426
28,2887.44,3.10474,1.37229,0.71246,0.69791,0.57113,0.55891,0.18406,2.70932,1.13987,0.68053,0.0022327,0.0022327,0.0022327
29,2991.56,3.15617,1.35335,0.70907,0.66254,0.57242,0.55052,0.1749,2.75838,1.51404,0.68664,0.0022228,0.0022228,0.0022228
30,3094.58,3.1757,1.5663,0.70977,0.66607,0.55405,0.5314,0.17139,2.72872,1.20478,0.68105,0.0022129,0.0022129,0.0022129
31,3196.84,3.15552,1.45089,0.7112,0.67349,0.56949,0.55486,0.18241,2.68484,1.15449,0.68113,0.002203,0.002203,0.002203
32,3299.34,3.07761,1.47197,0.7205,0.66205,0.54599,0.52229,0.16704,2.75483,1.27735,0.68681,0.0021931,0.0021931,0.0021931
33,3401.92,3.14627,1.38247,0.7187,0.65848,0.54492,0.50454,0.15851,2.77608,1.29342,0.68138,0.0021832,0.0021832,0.0021832
34,3503.99,3.17241,1.41677,0.7144,0.65991,0.53804,0.51196,0.15721,2.7717,1.23063,0.6805,0.0021733,0.0021733,0.0021733
35,3606.08,3.1357,1.43782,0.7088,0.68744,0.57505,0.5562,0.18348,2.65418,1.24169,0.67987,0.0021634,0.0021634,0.0021634
36,3708.57,3.15139,1.44081,0.70153,0.65351,0.53545,0.50122,0.16189,2.79944,1.15489,0.68463,0.0021535,0.0021535,0.0021535
37,3811.06,3.1755,1.41678,0.70746,0.68041,0.55956,0.54506,0.17778,2.68354,1.29722,0.67839,0.0021436,0.0021436,0.0021436
38,3913.87,3.09585,1.58431,0.71593,0.65309,0.56925,0.52058,0.1684,2.7373,1.49825,0.68034,0.0021337,0.0021337,0.0021337
39,4016.26,3.10617,1.60529,0.70438,0.66978,0.55382,0.53149,0.17532,2.72256,1.25018,0.68025,0.0021238,0.0021238,0.0021238
40,4118.81,3.11127,1.47864,0.71018,0.67848,0.56415,0.54237,0.17846,2.69777,1.16224,0.68111,0.0021139,0.0021139,0.0021139
41,4221.77,3.08219,1.41725,0.70797,0.68002,0.56177,0.54006,0.17249,2.71087,1.25096,0.68049,0.002104,0.002104,0.002104
42,4324.86,3.09027,1.40683,0.70761,0.68483,0.57281,0.53703,0.1737,2.73879,1.25453,0.68063,0.0020941,0.0020941,0.0020941
43,4427.68,3.05548,1.32578,0.7093,0.69767,0.5659,0.57316,0.18908,2.68077,1.11228,0.67995,0.0020842,0.0020842,0.0020842
44,4531.66,3.08286,1.33493,0.71629,0.68519,0.57975,0.54679,0.18152,2.68085,1.1874,0.68036,0.0020743,0.0020743,0.0020743
45,4634.24,2.98837,1.31004,0.718,0.67597,0.56845,0.56097,0.17968,2.67325,1.10413,0.67856,0.0020644,0.0020644,0.0020644
46,4736.75,3.0797,1.34876,0.70504,0.7051,0.59574,0.57735,0.19171,2.63826,1.15801,0.678,0.0020545,0.0020545,0.0020545
47,4839.36,3.02799,1.29025,0.71165,0.71551,0.59129,0.57658,0.19435,2.64087,1.09901,0.67916,0.0020446,0.0020446,0.0020446
48,4942.12,3.04886,1.32641,0.71478,0.6973,0.58472,0.5682,0.18166,2.67967,1.14807,0.67855,0.0020347,0.0020347,0.0020347
49,5044.16,3.11494,1.3719,0.71577,0.68796,0.57839,0.57056,0.17921,2.68128,1.14752,0.67915,0.0020248,0.0020248,0.0020248
50,5146.67,3.13805,1.30829,0.71484,0.68101,0.5758,0.56217,0.17886,2.67969,1.19928,0.67841,0.0020149,0.0020149,0.0020149
51,5248.98,3.10679,1.35589,0.71127,0.71301,0.60145,0.5857,0.18979,2.6571,1.32489,0.6777,0.002005,0.002005,0.002005
52,5351.39,3.12379,1.42113,0.70106,0.66894,0.57676,0.53692,0.1747,2.70993,1.50284,0.67462,0.0019951,0.0019951,0.0019951
53,5453.12,3.05901,1.47439,0.69626,0.67603,0.57427,0.53456,0.17463,2.69766,1.37741,0.67755,0.0019852,0.0019852,0.0019852
54,5554.57,3.02801,1.3752,0.70619,0.69822,0.58937,0.57985,0.19454,2.63673,1.1085,0.67922,0.0019753,0.0019753,0.0019753
55,5657.03,3.00308,1.33666,0.71117,0.67856,0.58481,0.55698,0.18171,2.66898,1.26396,0.67712,0.0019654,0.0019654,0.0019654
56,5758.86,3.01758,1.33417,0.7146,0.69896,0.57835,0.56795,0.18787,2.64103,1.17853,0.68052,0.0019555,0.0019555,0.0019555
57,5860.53,3.01248,1.39764,0.71066,0.65702,0.58096,0.55374,0.18542,2.61552,1.17503,0.67595,0.0019456,0.0019456,0.0019456
58,5962.77,3.0432,1.32969,0.70397,0.71423,0.58164,0.58075,0.19127,2.64089,1.14473,0.67367,0.0019357,0.0019357,0.0019357
59,6065.95,3.03196,1.33328,0.69424,0.69918,0.59137,0.58327,0.18797,2.64315,1.1274,0.67715,0.0019258,0.0019258,0.0019258
60,6169.44,3.04349,1.32479,0.70544,0.69241,0.57922,0.57986,0.19257,2.62773,1.10923,0.67517,0.0019159,0.0019159,0.0019159
61,6272.58,2.98883,1.30273,0.70632,0.7142,0.59496,0.59411,0.19823,2.59119,1.11323,0.67469,0.001906,0.001906,0.001906
62,6376.25,2.99829,1.21294,0.69652,0.71111,0.58973,0.58785,0.19787,2.61397,1.17313,0.6732,0.0018961,0.0018961,0.0018961
63,6479.03,2.95987,1.30914,0.70552,0.71245,0.61477,0.59095,0.19876,2.59963,1.24452,0.67543,0.0018862,0.0018862,0.0018862
64,6582.63,2.99719,1.29857,0.70382,0.68539,0.5768,0.54043,0.17578,2.73039,1.13978,0.67986,0.0018763,0.0018763,0.0018763
65,6685.74,2.98301,1.27382,0.70196,0.71156,0.58577,0.58589,0.19774,2.60048,1.09982,0.67639,0.0018664,0.0018664,0.0018664
66,6788.65,3.03862,1.28619,0.70872,0.68901,0.58182,0.5697,0.18864,2.66219,1.14827,0.6774,0.0018565,0.0018565,0.0018565
67,6891.19,2.98058,1.32133,0.70444,0.70166,0.57131,0.57154,0.19585,2.63376,1.07093,0.67557,0.0018466,0.0018466,0.0018466
68,6994.05,2.965,1.26639,0.69922,0.70744,0.5937,0.58713,0.19479,2.58185,1.09003,0.67526,0.0018367,0.0018367,0.0018367
69,7096.24,2.96031,1.25007,0.70284,0.68567,0.58493,0.55613,0.18517,2.65777,1.1372,0.67532,0.0018268,0.0018268,0.0018268
70,7199.06,2.90641,1.26413,0.71842,0.70371,0.57392,0.56741,0.19207,2.64632,1.0963,0.67849,0.0018169,0.0018169,0.0018169
71,7302.01,2.99655,1.25286,0.69575,0.71843,0.60373,0.58828,0.19519,2.61426,1.11091,0.67358,0.001807,0.001807,0.001807
72,7403.99,2.95426,1.32716,0.7127,0.71475,0.60273,0.59567,0.20001,2.60676,1.40778,0.67469,0.0017971,0.0017971,0.0017971
