epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6041,3.68892,2.02864,0.74744,0.47477,0.42139,0.3137,0.07692,3.14566,1.454,0.73336,0.000993902,0.000993902,0.0678638
2,103.876,3.59463,1.6662,0.7192,0.44699,0.40785,0.28849,0.0691,3.16789,1.69152,0.7318,0.00198403,0.00198403,0.0355206
3,158.894,3.45705,1.60838,0.72694,0.47794,0.43104,0.3273,0.07788,3.11537,1.52553,0.72885,0.00296426,0.00296426,0.00316751
4,210.026,3.40602,1.52756,0.72407,0.54314,0.45015,0.38807,0.09939,3.00128,1.43181,0.72819,0.00295545,0.00295545,0.00295545
5,260.956,3.33576,1.50934,0.71754,0.55631,0.4854,0.41859,0.11157,2.94263,1.40569,0.72122,0.0029406,0.0029406,0.0029406
6,315.958,3.35943,1.53629,0.70565,0.61704,0.51033,0.46819,0.13529,2.86662,1.29704,0.72072,0.00292575,0.00292575,0.00292575
7,372.052,3.28159,1.50318,0.70873,0.58419,0.4928,0.44351,0.12383,2.91268,1.70723,0.72256,0.0029109,0.0029109,0.0029109
8,429.887,3.23948,1.53588,0.71444,0.5995,0.50687,0.45907,0.13217,2.82291,1.37034,0.71833,0.00289605,0.00289605,0.00289605
9,486.1,3.21467,1.3381,0.70572,0.62562,0.51546,0.48519,0.14329,2.82458,1.31496,0.72257,0.0028812,0.0028812,0.0028812
10,539.865,3.20388,1.38441,0.70738,0.61318,0.5245,0.47435,0.13715,2.82606,1.5709,0.71763,0.00286635,0.00286635,0.00286635
11,592.379,3.17613,1.46,0.70542,0.6144,0.49252,0.47211,0.13469,2.82665,1.25281,0.72176,0.0028515,0.0028515,0.0028515
12,644.912,3.16594,1.39077,0.71708,0.64277,0.52593,0.49219,0.1464,2.76783,1.30536,0.71744,0.00283665,0.00283665,0.00283665
13,697.84,3.14895,1.37922,0.7093,0.63249,0.54296,0.49764,0.14713,2.81285,1.37748,0.72028,0.0028218,0.0028218,0.0028218
14,750.183,3.16288,1.38158,0.71492,0.64201,0.52912,0.50958,0.15072,2.78245,1.22459,0.71599,0.00280695,0.00280695,0.00280695
15,802.473,3.14243,1.31692,0.70395,0.65473,0.53345,0.51874,0.15373,2.75365,1.23649,0.72175,0.0027921,0.0027921,0.0027921
16,855.062,3.12649,1.40974,0.7118,0.60125,0.50271,0.45781,0.13023,2.86053,1.22369,0.71907,0.00277725,0.00277725,0.00277725
17,907.673,3.17468,1.42029,0.71155,0.60754,0.52383,0.48454,0.13934,2.83452,1.24753,0.71643,0.0027624,0.0027624,0.0027624
18,959.88,3.14318,1.39712,0.70094,0.63629,0.52686,0.50028,0.15466,2.79157,1.28041,0.71856,0.00274755,0.00274755,0.00274755
19,1013.11,3.15644,1.3832,0.69989,0.61002,0.49857,0.47092,0.13393,2.82548,1.29711,0.71982,0.0027327,0.0027327,0.0027327
20,1066.12,3.14276,1.40216,0.70709,0.5912,0.52102,0.45207,0.12346,2.81204,1.6608,0.71488,0.00271785,0.00271785,0.00271785
21,1118.81,3.12801,1.36629,0.70479,0.62386,0.53363,0.50537,0.15203,2.77379,1.19029,0.71368,0.002703,0.002703,0.002703
22,1170.51,3.10225,1.33471,0.70853,0.65876,0.5686,0.54268,0.16808,2.73487,1.30769,0.71939,0.00268815,0.00268815,0.00268815
23,1223.39,3.19882,1.32244,0.70391,0.67927,0.55468,0.54189,0.16868,2.70914,1.26145,0.71306,0.0026733,0.0026733,0.0026733
24,1276.66,3.15964,1.35468,0.70398,0.6724,0.5462,0.51829,0.15687,2.76418,1.39708,0.71427,0.00265845,0.00265845,0.00265845
25,1328.75,3.06152,1.28838,0.70123,0.64679,0.56273,0.5254,0.15497,2.74967,1.30227,0.71497,0.0026436,0.0026436,0.0026436
26,1385.39,3.03991,1.23726,0.69766,0.6796,0.57035,0.55339,0.17212,2.68352,1.11894,0.70997,0.00262875,0.00262875,0.00262875
27,1437.9,3.05148,1.28083,0.70035,0.67345,0.57284,0.54769,0.17324,2.68821,1.22624,0.71443,0.0026139,0.0026139,0.0026139
28,1494.87,3.0584,1.29021,0.69983,0.67121,0.57042,0.5508,0.17074,2.72214,1.18557,0.71127,0.00259905,0.00259905,0.00259905
29,1546.59,3.07746,1.31645,0.70823,0.65672,0.52615,0.5013,0.1399,2.8337,1.1958,0.72035,0.0025842,0.0025842,0.0025842
30,1600.22,3.1502,1.31226,0.70401,0.65384,0.54007,0.51132,0.14641,2.79591,1.23737,0.71743,0.00256935,0.00256935,0.00256935
31,1654.01,3.06844,1.28712,0.69876,0.67778,0.57625,0.54904,0.17294,2.68696,1.2201,0.70907,0.0025545,0.0025545,0.0025545
32,1706.59,3.07256,1.33916,0.69766,0.69275,0.56486,0.55884,0.17548,2.67756,1.1892,0.70807,0.00253965,0.00253965,0.00253965
33,1758.22,3.05536,1.32211,0.69748,0.67194,0.54524,0.53324,0.15832,2.72875,1.15865,0.70979,0.0025248,0.0025248,0.0025248
34,1810.96,3.07766,1.26897,0.69519,0.68432,0.59024,0.56503,0.18313,2.64918,1.2236,0.70915,0.00250995,0.00250995,0.00250995
35,1866.83,3.06958,1.26977,0.69564,0.64907,0.5337,0.51312,0.15089,2.78099,1.94458,0.71856,0.0024951,0.0024951,0.0024951
36,1918.38,3.06127,1.3245,0.70092,0.68964,0.57445,0.54941,0.1765,2.68956,1.19167,0.70942,0.00248025,0.00248025,0.00248025
37,1971.36,3.05,1.26635,0.69457,0.67895,0.56144,0.54032,0.17418,2.68339,1.19234,0.70855,0.0024654,0.0024654,0.0024654
38,2024.25,3.03462,1.35168,0.70067,0.69596,0.56134,0.55622,0.18541,2.64525,1.17567,0.70903,0.00245055,0.00245055,0.00245055
39,2077.19,3.00912,1.28338,0.70112,0.69054,0.5846,0.57012,0.17228,2.70415,1.15943,0.7084,0.0024357,0.0024357,0.0024357
40,2129.67,3.0749,1.26603,0.68932,0.68455,0.56568,0.54776,0.17863,2.69258,1.19751,0.71138,0.00242085,0.00242085,0.00242085
41,2182.55,3.08377,1.29648,0.69748,0.68854,0.53719,0.5327,0.17037,2.68165,1.20629,0.70873,0.002406,0.002406,0.002406
42,2236.29,3.02983,1.26505,0.7019,0.67801,0.5712,0.55529,0.17778,2.64192,1.19147,0.71239,0.00239115,0.00239115,0.00239115
43,2288.17,2.99245,1.26787,0.69858,0.69961,0.59336,0.5849,0.19039,2.63466,1.19376,0.70669,0.0023763,0.0023763,0.0023763
44,2340.86,3.00214,1.28863,0.70469,0.66994,0.55902,0.53974,0.17434,2.66961,1.15913,0.71107,0.00236145,0.00236145,0.00236145
45,2398.37,2.97934,1.25267,0.70399,0.67813,0.55706,0.53765,0.17126,2.68328,1.19923,0.70774,0.0023466,0.0023466,0.0023466
46,2450.28,3.07495,1.23847,0.69053,0.66887,0.56166,0.51867,0.16111,2.7357,1.19258,0.70962,0.00233175,0.00233175,0.00233175
47,2502.96,3.00767,1.23409,0.69995,0.6888,0.56458,0.54771,0.17801,2.6886,1.12347,0.70814,0.0023169,0.0023169,0.0023169
48,2556.85,3.08647,1.28985,0.69286,0.66175,0.56162,0.52506,0.16698,2.71282,1.29565,0.71077,0.00230205,0.00230205,0.00230205
49,2609.61,2.98422,1.31871,0.70161,0.7058,0.5795,0.57727,0.18687,2.6133,1.15578,0.70591,0.0022872,0.0022872,0.0022872
50,2662.94,2.98488,1.24627,0.69503,0.70334,0.58303,0.57746,0.18525,2.6294,1.12972,0.70586,0.00227235,0.00227235,0.00227235
51,2715.3,2.99356,1.24359,0.6887,0.70701,0.58904,0.58477,0.19065,2.6207,1.10229,0.70427,0.0022575,0.0022575,0.0022575
52,2768.5,2.97782,1.27136,0.69554,0.71141,0.59367,0.59038,0.19801,2.59019,1.14268,0.70535,0.00224265,0.00224265,0.00224265
53,2819.82,2.94073,1.31103,0.69604,0.70473,0.58363,0.5776,0.19162,2.60825,1.1191,0.706,0.0022278,0.0022278,0.0022278
54,2875.23,3.00046,1.29197,0.69949,0.67445,0.54908,0.54999,0.17376,2.66783,1.20588,0.70532,0.00221295,0.00221295,0.00221295
55,2933,2.98322,1.24026,0.69795,0.68955,0.5758,0.56349,0.17537,2.65401,1.18238,0.70599,0.0021981,0.0021981,0.0021981
56,2985.75,2.97132,1.24868,0.69153,0.6962,0.57794,0.57308,0.17938,2.65985,1.11329,0.70761,0.00218325,0.00218325,0.00218325
57,3037.37,2.99624,1.22942,0.69401,0.70103,0.57398,0.57097,0.18489,2.61561,1.16468,0.70514,0.0021684,0.0021684,0.0021684
58,3089.9,2.9572,1.20429,0.69392,0.69843,0.59701,0.58595,0.19302,2.60505,1.11275,0.70439,0.00215355,0.00215355,0.00215355
59,3142.71,3.0097,1.24458,0.69474,0.70426,0.60095,0.58611,0.18472,2.65044,1.20319,0.70643,0.0021387,0.0021387,0.0021387
60,3195.44,2.93567,1.19744,0.69495,0.70594,0.58759,0.58296,0.18974,2.5958,1.1496,0.70295,0.00212385,0.00212385,0.00212385
61,3247.96,2.95818,1.24378,0.69324,0.70346,0.58592,0.57218,0.19081,2.60352,1.11661,0.70241,0.002109,0.002109,0.002109
62,3299.95,2.92393,1.21984,0.69719,0.70574,0.60757,0.5996,0.20437,2.57306,1.17367,0.70158,0.00209415,0.00209415,0.00209415
63,3351.96,2.85961,1.20202,0.70236,0.72084,0.59721,0.59254,0.19703,2.57599,1.15264,0.70181,0.0020793,0.0020793,0.0020793
64,3404.8,2.90331,1.18686,0.69156,0.66897,0.56857,0.54295,0.16066,2.66908,1.1201,0.70176,0.00206445,0.00206445,0.00206445
65,3457.22,3.01176,1.23873,0.69763,0.70733,0.59049,0.58841,0.19345,2.60484,1.11939,0.70328,0.0020496,0.0020496,0.0020496
66,3510.47,2.98235,1.20126,0.69571,0.69637,0.5846,0.56812,0.18443,2.6121,1.09916,0.70212,0.00203475,0.00203475,0.00203475
67,3564.65,3.01166,1.18085,0.69255,0.71053,0.59062,0.58019,0.19197,2.60854,1.09329,0.70133,0.0020199,0.0020199,0.0020199
68,3615.94,2.92098,1.20902,0.70037,0.71951,0.60886,0.60468,0.20242,2.57362,1.16123,0.70184,0.00200505,0.00200505,0.00200505
69,3674.27,2.8875,1.20524,0.69547,0.70915,0.6069,0.59358,0.2018,2.5592,1.15686,0.7006,0.0019902,0.0019902,0.0019902
70,3725.46,2.92932,1.18822,0.68872,0.71929,0.61334,0.59475,0.20212,2.55965,1.18178,0.70244,0.00197535,0.00197535,0.00197535
71,3776.51,2.90122,1.19079,0.69576,0.72494,0.60615,0.60304,0.20582,2.54385,1.16879,0.70129,0.0019605,0.0019605,0.0019605
72,3827.09,2.90328,1.18795,0.69486,0.7134,0.60173,0.60749,0.20083,2.59505,1.06849,0.70241,0.00194565,0.00194565,0.00194565
73,3897.05,2.97501,1.22945,0.68969,0.70092,0.59019,0.58305,0.19972,2.5712,1.06915,0.70322,0.0019308,0.0019308,0.0019308
74,3947.5,3.00023,1.22521,0.6936,0.70275,0.59012,0.5664,0.1887,2.62334,1.08938,0.70132,0.00191595,0.00191595,0.00191595
75,3997.78,2.9195,1.21332,0.69822,0.70875,0.59069,0.58354,0.19559,2.57835,1.06416,0.70057,0.0019011,0.0019011,0.0019011
76,4047.88,2.93988,1.20203,0.68513,0.70562,0.58982,0.57292,0.19171,2.60566,1.12591,0.70217,0.00188625,0.00188625,0.00188625
77,4098.07,2.89042,1.18188,0.69422,0.71507,0.61142,0.59483,0.20088,2.56252,1.18683,0.70272,0.0018714,0.0018714,0.0018714
78,4148.05,2.98502,1.22465,0.6924,0.70958,0.58624,0.59715,0.20263,2.56764,1.09042,0.7009,0.00185655,0.00185655,0.00185655
79,4198.42,3.00328,1.17299,0.68638,0.70071,0.5831,0.58533,0.18852,2.60248,1.07943,0.69897,0.0018417,0.0018417,0.0018417
80,4248.01,2.94259,1.20972,0.68752,0.72166,0.59652,0.60042,0.1986,2.57374,1.08136,0.70144,0.00182685,0.00182685,0.00182685
81,4297.81,2.84273,1.16734,0.69676,0.71703,0.61858,0.61088,0.19957,2.57198,1.11981,0.69837,0.001812,0.001812,0.001812
82,4348.19,2.87563,1.20442,0.69326,0.71895,0.60194,0.59374,0.2026,2.564,1.11286,0.70077,0.00179715,0.00179715,0.00179715
83,4399,2.92272,1.1646,0.69416,0.7105,0.6069,0.59779,0.20282,2.55805,1.09892,0.69897,0.0017823,0.0017823,0.0017823
84,4449.52,2.93647,1.17486,0.68506,0.71785,0.59717,0.59607,0.20237,2.55894,1.10013,0.70248,0.00176745,0.00176745,0.00176745
85,4499.74,2.98061,1.19131,0.68225,0.72371,0.6117,0.60952,0.20539,2.56061,1.10242,0.69919,0.0017526,0.0017526,0.0017526
86,4549.73,2.91002,1.20529,0.69302,0.71816,0.60712,0.60285,0.20267,2.56546,1.06931,0.6986,0.00173775,0.00173775,0.00173775
87,4600.04,2.91892,1.2305,0.68946,0.7295,0.57944,0.60364,0.20582,2.55994,1.10702,0.70064,0.0017229,0.0017229,0.0017229
88,4650.03,2.91483,1.32233,0.68806,0.70589,0.62023,0.59969,0.19947,2.56946,1.49439,0.69838,0.00170805,0.00170805,0.00170805
89,4700.13,2.89825,1.23572,0.69106,0.71412,0.59588,0.6041,0.20053,2.57933,1.08681,0.70075,0.0016932,0.0016932,0.0016932
90,4749.98,2.83311,1.15958,0.68933,0.72359,0.61074,0.60506,0.20548,2.55664,1.07109,0.69967,0.00167835,0.00167835,0.00167835
91,4800.42,2.94339,1.22329,0.68558,0.71749,0.60818,0.6017,0.1977,2.56724,1.16257,0.69915,0.0016635,0.0016635,0.0016635
92,4850.4,2.91956,1.14654,0.68599,0.71413,0.6111,0.60145,0.20259,2.55051,1.15878,0.69916,0.00164865,0.00164865,0.00164865
93,4900.86,2.83903,1.16298,0.69644,0.72697,0.60764,0.61323,0.20638,2.54767,1.065,0.69909,0.0016338,0.0016338,0.0016338
94,4950.89,2.89859,1.13873,0.68477,0.72007,0.59759,0.60096,0.19105,2.59292,1.07667,0.69839,0.00161895,0.00161895,0.00161895
95,5001.25,2.87687,1.13354,0.69199,0.7367,0.61398,0.62156,0.21388,2.52639,1.05648,0.6988,0.0016041,0.0016041,0.0016041
96,5051.78,2.87213,1.13574,0.68465,0.7363,0.61516,0.61447,0.21012,2.53369,1.05732,0.69724,0.00158925,0.00158925,0.00158925
97,5102.49,2.92618,1.14711,0.68397,0.72686,0.61922,0.60896,0.20315,2.54665,1.12823,0.6991,0.0015744,0.0015744,0.0015744
98,5152.46,2.92823,1.15066,0.68541,0.72251,0.61256,0.61003,0.19768,2.58777,1.0633,0.69933,0.00155955,0.00155955,0.00155955
99,5202.75,2.90243,1.16128,0.68718,0.72397,0.62231,0.61425,0.20805,2.53928,1.08532,0.69816,0.0015447,0.0015447,0.0015447
100,5253.04,2.91316,1.15699,0.68618,0.71617,0.60829,0.61247,0.20523,2.53302,1.03841,0.69698,0.00152985,0.00152985,0.00152985
101,5303.34,2.88253,1.1496,0.68283,0.73543,0.62325,0.6247,0.21073,2.55144,1.09039,0.70008,0.001515,0.001515,0.001515
102,5353.38,2.91293,1.15047,0.68608,0.73529,0.61021,0.62354,0.21421,2.53884,1.02602,0.69792,0.00150015,0.00150015,0.00150015
103,5403.1,2.8751,1.13747,0.69105,0.72372,0.61324,0.6182,0.20605,2.55357,1.03637,0.69875,0.0014853,0.0014853,0.0014853
104,5452.99,2.9038,1.14526,0.68749,0.73359,0.61196,0.62299,0.21146,2.50749,1.0751,0.69666,0.00147045,0.00147045,0.00147045
105,5503.4,2.92031,1.14268,0.68073,0.72979,0.60609,0.61627,0.20406,2.56832,1.06959,0.69931,0.0014556,0.0014556,0.0014556
106,5553.44,2.90124,1.14829,0.68351,0.73179,0.62535,0.62557,0.22034,2.49793,1.0323,0.69691,0.00144075,0.00144075,0.00144075
