epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3331,3.78199,2.03504,0.75584,0.47805,0.41195,0.32539,0.07926,3.38706,1.56492,0.7309,0.000828252,0.000828252,0.0676982
2,106.197,3.59134,1.61285,0.72584,0.5174,0.43724,0.36257,0.09939,3.25422,1.64931,0.72888,0.00165501,0.00165501,0.0351916
3,161.434,3.44791,1.57599,0.73874,0.52158,0.44967,0.37047,0.09175,3.27069,1.65916,0.71984,0.00247516,0.00247516,0.00267841
4,217.912,3.43788,1.46071,0.73155,0.56731,0.48483,0.42705,0.11744,3.15253,1.39596,0.72346,0.0024703,0.0024703,0.0024703
5,269.717,3.37707,1.45382,0.72457,0.57053,0.49662,0.44279,0.12691,3.11663,1.35841,0.72257,0.0024604,0.0024604,0.0024604
6,321.614,3.40207,1.5317,0.71639,0.5625,0.49309,0.42566,0.12029,3.08616,1.63669,0.71596,0.0024505,0.0024505,0.0024505
7,376.762,3.34192,1.58912,0.71827,0.57733,0.48673,0.43488,0.12147,3.12451,1.57583,0.72329,0.0024406,0.0024406,0.0024406
8,434.237,3.34378,1.51399,0.72642,0.59701,0.50798,0.46642,0.1401,2.9923,1.31479,0.7133,0.0024307,0.0024307,0.0024307
9,495.41,3.29086,1.34667,0.7143,0.60638,0.5125,0.48089,0.13553,3.02368,1.39073,0.71654,0.0024208,0.0024208,0.0024208
10,557.756,3.25214,1.38332,0.71591,0.6303,0.53982,0.49016,0.14186,2.97363,1.49532,0.7121,0.0024109,0.0024109,0.0024109
11,617.607,3.22917,1.45559,0.71238,0.63074,0.51671,0.49137,0.14935,3.00496,1.32,0.712,0.002401,0.002401,0.002401
12,684.074,3.19844,1.3799,0.72176,0.63144,0.52354,0.48758,0.14681,2.96823,1.35942,0.70921,0.0023911,0.0023911,0.0023911
13,747.657,3.17323,1.35388,0.72001,0.64754,0.53993,0.5124,0.15697,2.93088,1.29831,0.71566,0.0023812,0.0023812,0.0023812
14,804.082,3.18056,1.35605,0.72153,0.66327,0.54777,0.52327,0.16054,2.91778,1.29405,0.70924,0.0023713,0.0023713,0.0023713
15,860.199,3.15361,1.29782,0.70901,0.64323,0.55211,0.51426,0.1534,2.9014,1.2763,0.71052,0.0023614,0.0023614,0.0023614
16,915.955,3.15506,1.3723,0.71744,0.61126,0.50924,0.46957,0.14631,2.99146,1.2072,0.71574,0.0023515,0.0023515,0.0023515
17,972.674,3.19928,1.36873,0.71938,0.62977,0.55008,0.50779,0.14724,2.96498,1.56211,0.70684,0.0023416,0.0023416,0.0023416
18,1028.42,3.21518,1.35174,0.71399,0.67772,0.54951,0.53855,0.16646,2.87685,1.27743,0.70994,0.0023317,0.0023317,0.0023317
19,1083.67,3.19677,1.31959,0.70628,0.65273,0.52578,0.50825,0.15733,2.91844,1.23238,0.70736,0.0023218,0.0023218,0.0023218
20,1139.12,3.16541,1.34687,0.71333,0.6414,0.56689,0.53114,0.1635,2.87417,1.41562,0.7071,0.0023119,0.0023119,0.0023119
21,1194.33,3.15523,1.32792,0.70981,0.63842,0.54389,0.51005,0.14445,2.99523,1.66155,0.70701,0.002302,0.002302,0.002302
22,1250.28,3.1496,1.34189,0.71318,0.66522,0.55713,0.54701,0.17194,2.84124,1.28131,0.70887,0.0022921,0.0022921,0.0022921
23,1305.23,3.24037,1.33218,0.71453,0.63781,0.53957,0.49067,0.14708,2.94632,1.59204,0.70692,0.0022822,0.0022822,0.0022822
24,1359.01,3.24456,1.39232,0.71038,0.65023,0.56654,0.53572,0.1647,2.90644,1.53118,0.70386,0.0022723,0.0022723,0.0022723
25,1412.59,3.14944,1.31637,0.70857,0.68288,0.56376,0.55178,0.1732,2.86531,1.25531,0.70949,0.0022624,0.0022624,0.0022624
26,1465.82,3.09325,1.26119,0.71168,0.66209,0.55737,0.5198,0.16071,2.90569,1.23567,0.70865,0.0022525,0.0022525,0.0022525
27,1519.9,3.13796,1.30284,0.71106,0.65676,0.56686,0.52639,0.16092,2.96077,1.73668,0.71111,0.0022426,0.0022426,0.0022426
28,1573.81,3.11825,1.30324,0.70691,0.67898,0.57084,0.55674,0.17246,2.87278,1.51806,0.70672,0.0022327,0.0022327,0.0022327
29,1628.11,3.13537,1.42673,0.71195,0.64105,0.51527,0.52942,0.16758,2.86645,1.3138,0.70709,0.0022228,0.0022228,0.0022228
30,1680.88,3.15378,1.41333,0.71231,0.63937,0.54217,0.51754,0.16201,2.90684,1.26221,0.70656,0.0022129,0.0022129,0.0022129
31,1732.74,3.09742,1.37986,0.70643,0.66595,0.56896,0.55378,0.17424,2.82389,1.28881,0.70507,0.002203,0.002203,0.002203
32,1784.08,3.09975,1.31598,0.71246,0.67038,0.55938,0.54282,0.17769,2.84032,1.24159,0.70844,0.0021931,0.0021931,0.0021931
33,1835.72,3.08025,1.2534,0.70773,0.68504,0.56262,0.54107,0.17228,2.87593,1.37807,0.70901,0.0021832,0.0021832,0.0021832
34,1887.22,3.10912,1.24244,0.70562,0.65063,0.54767,0.49378,0.14775,2.99329,1.26965,0.71242,0.0021733,0.0021733,0.0021733
35,1938.73,3.06646,1.22856,0.70244,0.66616,0.54686,0.52383,0.16347,2.86824,1.57536,0.70721,0.0021634,0.0021634,0.0021634
36,1989.8,3.0831,1.28987,0.7104,0.6571,0.55867,0.52068,0.16687,2.90955,1.21569,0.70592,0.0021535,0.0021535,0.0021535
37,2041.82,3.06184,1.25111,0.70347,0.68282,0.55841,0.53303,0.17035,2.8677,1.2433,0.70638,0.0021436,0.0021436,0.0021436
38,2092.81,3.03439,1.33729,0.70659,0.70882,0.55988,0.56943,0.18648,2.7992,1.20853,0.70493,0.0021337,0.0021337,0.0021337
39,2143.71,3.06465,1.26117,0.71077,0.66292,0.56455,0.55792,0.17596,2.81072,1.14445,0.70283,0.0021238,0.0021238,0.0021238
40,2195.35,3.09654,1.23505,0.69728,0.66491,0.55532,0.531,0.17,2.87112,1.18039,0.70687,0.0021139,0.0021139,0.0021139
41,2246.61,3.1277,1.26199,0.70763,0.62373,0.53548,0.48176,0.14789,2.98209,1.24917,0.70953,0.002104,0.002104,0.002104
42,2297.67,3.05502,1.25452,0.70877,0.68083,0.58878,0.55866,0.17851,2.82657,1.50179,0.70319,0.0020941,0.0020941,0.0020941
43,2349.46,3.07549,1.28323,0.70595,0.67219,0.5641,0.52991,0.17262,2.87788,1.35477,0.70773,0.0020842,0.0020842,0.0020842
44,2400.7,3.0527,1.28611,0.71391,0.6456,0.55122,0.51025,0.16077,2.93159,1.16173,0.70732,0.0020743,0.0020743,0.0020743
45,2452.22,2.99974,1.22753,0.71152,0.66565,0.56903,0.53614,0.16694,2.84139,1.20779,0.70221,0.0020644,0.0020644,0.0020644
46,2504.14,3.06874,1.21683,0.69876,0.69336,0.57992,0.56159,0.18533,2.82055,1.16988,0.70208,0.0020545,0.0020545,0.0020545
47,2555.92,3.02178,1.20045,0.70952,0.69904,0.59101,0.58174,0.1855,2.81152,1.15188,0.7045,0.0020446,0.0020446,0.0020446
48,2607.37,3.12066,1.257,0.70174,0.6635,0.58243,0.54722,0.17335,2.85513,1.26676,0.70478,0.0020347,0.0020347,0.0020347
49,2658.2,3.07649,1.28921,0.70837,0.68144,0.5743,0.55152,0.17349,2.85515,1.19465,0.70034,0.0020248,0.0020248,0.0020248
50,2714.79,3.04623,1.21853,0.70384,0.70063,0.58479,0.56784,0.18064,2.84561,1.19918,0.70314,0.0020149,0.0020149,0.0020149
51,2766.73,3.04769,1.21671,0.70208,0.68752,0.5738,0.54307,0.17763,2.85367,1.13261,0.70282,0.002005,0.002005,0.002005
52,2817.99,3.03176,1.21731,0.70563,0.71378,0.59728,0.5857,0.19368,2.78566,1.20254,0.70262,0.0019951,0.0019951,0.0019951
53,2868.89,2.98585,1.24299,0.70722,0.69324,0.56903,0.56006,0.17952,2.85278,1.10593,0.70386,0.0019852,0.0019852,0.0019852
54,2919.96,3.02995,1.23253,0.70771,0.69374,0.58613,0.57519,0.18941,2.79327,1.13491,0.7019,0.0019753,0.0019753,0.0019753
55,2990.26,3.03756,1.21396,0.70566,0.69728,0.58602,0.57089,0.18646,2.78222,1.18304,0.70199,0.0019654,0.0019654,0.0019654
56,3042.05,2.98931,1.1926,0.70107,0.71217,0.60398,0.59348,0.19302,2.76828,1.22278,0.70132,0.0019555,0.0019555,0.0019555
57,3094.41,2.99587,1.18413,0.7018,0.67445,0.57035,0.54491,0.17732,2.83357,1.14447,0.70382,0.0019456,0.0019456,0.0019456
58,3146.53,3.00745,1.18651,0.70321,0.69798,0.5747,0.55775,0.18278,2.83544,1.11146,0.70441,0.0019357,0.0019357,0.0019357
59,3198.92,3.04911,1.21122,0.70099,0.6941,0.58718,0.56247,0.18358,2.82437,1.17686,0.70234,0.0019258,0.0019258,0.0019258
60,3250.79,2.97598,1.14767,0.70336,0.71095,0.58991,0.57145,0.18658,2.80813,1.13656,0.70074,0.0019159,0.0019159,0.0019159
61,3303.36,2.99676,1.18955,0.69958,0.6837,0.55976,0.54077,0.17795,2.84451,1.16282,0.70412,0.001906,0.001906,0.001906
62,3355.27,2.98085,1.19596,0.70782,0.71559,0.6075,0.5998,0.2019,2.74392,1.13477,0.70133,0.0018961,0.0018961,0.0018961
63,3406.38,2.89662,1.16168,0.70825,0.71511,0.59147,0.58754,0.19398,2.76683,1.12352,0.69931,0.0018862,0.0018862,0.0018862
64,3457.93,2.96146,1.1926,0.7025,0.71605,0.58332,0.58551,0.19438,2.76578,1.09469,0.70395,0.0018763,0.0018763,0.0018763
65,3509.8,2.98629,1.21165,0.70393,0.69858,0.58943,0.5853,0.18623,2.77302,1.14582,0.6992,0.0018664,0.0018664,0.0018664
66,3561.6,3.01398,1.20225,0.70064,0.70631,0.60394,0.59181,0.19648,2.76188,1.1192,0.69813,0.0018565,0.0018565,0.0018565
67,3614.47,3.03786,1.16654,0.70184,0.67492,0.56605,0.52842,0.16706,2.91775,1.11528,0.7062,0.0018466,0.0018466,0.0018466
68,3669.01,2.99917,1.19554,0.71146,0.69474,0.58873,0.55969,0.18644,2.80276,1.31538,0.70036,0.0018367,0.0018367,0.0018367
69,3725.29,2.95869,1.19978,0.70328,0.70651,0.58727,0.57838,0.19439,2.81362,1.06632,0.70431,0.0018268,0.0018268,0.0018268
70,3777.1,2.95921,1.16678,0.69796,0.71055,0.58884,0.57444,0.19043,2.80365,1.10041,0.70232,0.0018169,0.0018169,0.0018169
71,3828.62,2.97331,1.18553,0.70572,0.70735,0.58264,0.568,0.18981,2.79239,1.09206,0.70295,0.001807,0.001807,0.001807
72,3879.97,2.94227,1.17959,0.7068,0.72574,0.60116,0.60292,0.19962,2.77431,1.08965,0.7029,0.0017971,0.0017971,0.0017971
73,3959.95,3.0115,1.16302,0.69898,0.72256,0.59774,0.59644,0.20266,2.74686,1.03811,0.70066,0.0017872,0.0017872,0.0017872
